accessible_surface_area,net_surface_charge,solubility,aggregation_tendency,zeta_potential,clouding_point,salt_bridges,tryptophan_accessibility,surface_roughness,cluster
11111,1.5,12.6,0.048,-12.8,55.9,4,40.6,1.31,1
20390,-3.2,12.8,0.059,0.7,53.2,2,82.6,1.4,4
15328,0.2,60.4,0.147,-14.3,46.6,2,22.8,1.73,2
6599,-5.6,33.8,0.5,-21.4,69.8,4,52.4,1.48,3
15208,-1.5,19.9,0.29,-23.9,85.0,3,80.6,1.73,3
11452,-2.9,15.8,0.084,-23.5,55.4,1,35.3,1.75,1
10190,5.0,16.2,0.031,-29.6,51.8,1,64.2,1.6,4
17063,-0.5,28.0,0.322,-5.7,51.1,3,24.6,1.15,2
20179,0.0,15.6,0.226,-37.3,51.8,2,10.9,1.98,5
19389,-4.5,31.5,0.253,-10.1,79.8,3,79.4,1.88,3
9550,-4.9,21.6,0.283,-23.7,51.4,2,9.9,1.44,2
11805,-4.6,60.8,0.428,-20.1,53.0,6,27.1,1.08,2
15252,0.4,14.9,0.195,-24.0,45.1,7,85.5,1.04,0
19736,-4.5,35.5,0.421,-0.5,63.5,4,34.6,1.49,0
11029,-0.3,6.5,0.098,-14.8,59.2,2,97.3,1.23,4
12403,10.5,9.8,0.029,-7.1,46.4,2,98.0,1.01,4
8582,3.2,55.6,0.37,-2.0,49.3,0,26.8,1.03,2
8279,-4.0,30.6,0.072,-13.4,78.4,5,4.1,1.29,0
18490,5.2,23.9,0.244,-27.0,60.4,2,70.5,1.48,4
22982,-4.4,70.9,0.48,-17.2,61.2,4,45.1,1.88,2
12980,-14.2,15.9,0.036,-22.4,61.3,4,10.1,1.56,1
19958,-8.0,35.4,0.26,-20.0,76.7,4,70.8,1.31,3
15439,-13.2,37.2,0.029,-15.9,47.5,5,3.1,1.53,1
10321,-4.1,47.9,0.198,-16.3,55.2,3,87.0,1.5,2
15437,-1.9,5.8,0.004,-10.9,58.0,3,13.9,1.65,1
24716,8.1,15.9,0.048,-9.4,39.3,5,12.7,1.41,2
13169,-0.0,21.3,0.112,-16.3,49.0,4,17.6,1.75,2
24980,-3.3,47.4,0.026,-11.0,72.6,3,96.0,1.67,2
5000,3.0,23.2,0.291,-20.5,69.1,4,69.3,1.44,5
18559,-15.3,37.2,0.264,-1.9,71.2,3,80.1,1.39,3
13833,-0.6,5.3,0.508,-20.7,52.9,3,39.8,1.71,5
11853,2.6,13.1,0.066,-3.0,54.4,4,33.6,1.23,1
13859,-10.9,41.5,0.156,-29.8,38.5,3,23.4,1.05,1
6032,4.9,14.5,0.042,-18.8,71.2,1,48.1,1.05,4
12235,0.0,16.9,0.122,-18.3,73.2,3,55.2,1.21,4
15411,-4.5,46.9,0.557,-12.2,73.0,2,63.2,1.62,3
24128,1.8,7.9,0.336,-6.4,79.2,2,25.7,1.3,0
10858,11.6,9.7,0.068,-27.5,65.1,4,94.9,1.48,4
9668,-0.9,4.8,0.012,-26.1,78.7,4,17.0,1.29,0
10930,-0.5,48.1,0.01,-29.0,57.6,1,96.6,1.29,4
19267,-4.8,33.4,0.29,-1.8,38.8,7,1.5,1.16,0
15237,-7.1,32.8,0.11,-12.0,70.3,3,48.1,1.39,0
10808,3.0,12.8,0.705,-25.8,38.4,2,33.3,1.37,5
16404,-7.1,4.4,0.158,-19.4,62.0,6,44.9,1.54,0
13888,-1.6,3.2,0.123,-3.2,71.5,0,57.1,1.5,1
19681,-4.9,41.7,0.041,-17.8,63.9,6,43.6,1.36,0
10088,0.9,25.1,0.387,-18.4,85.0,3,41.5,1.05,3
11718,0.0,28.5,0.15,-22.8,36.4,3,73.3,1.76,5
11420,4.2,20.6,0.164,-25.2,59.0,5,68.6,1.4,0
7439,-5.1,8.7,0.221,-3.2,60.2,5,83.3,1.44,4
15039,-3.6,13.3,0.176,1.7,43.9,2,25.0,1.95,2
14830,-7.9,6.9,0.309,-24.9,46.2,4,61.0,1.7,3
13387,-4.7,6.1,0.052,-1.0,49.9,3,58.5,1.55,1
12163,0.3,31.6,0.145,-19.9,46.8,6,37.0,1.42,0
7584,2.5,3.5,0.134,-9.7,58.7,1,48.6,1.42,1
11290,-7.5,6.9,0.333,-0.9,52.8,3,31.4,1.49,1
11648,3.2,13.9,0.417,-16.5,63.8,5,14.2,1.54,5
9692,6.1,18.1,0.081,-18.3,67.8,3,21.4,2.0,1
12525,0.5,4.7,0.356,-7.0,67.0,2,10.6,2.33,5
15703,9.3,23.0,0.044,-26.1,55.1,0,68.3,1.5,4
28409,-6.6,19.7,0.193,-3.5,63.4,1,66.1,1.0,4
14325,-9.5,41.2,0.196,-13.6,72.4,4,95.1,1.17,3
14809,-12.7,18.3,0.412,-20.8,65.3,6,73.0,2.04,3
12967,7.0,24.7,0.321,-21.0,82.3,2,5.2,1.64,5
6201,1.9,9.1,0.056,-28.8,71.8,4,88.4,1.55,4
13218,-2.3,9.5,0.324,-20.4,80.6,1,86.3,1.37,4
13685,-0.3,5.2,0.244,-17.6,35.0,1,44.3,1.12,1
35000,-8.8,9.2,0.528,-25.6,61.2,9,58.6,1.98,3
12370,12.7,13.1,0.123,-15.5,56.1,2,97.6,1.2,4
15072,-1.2,38.5,0.161,-10.3,58.5,2,53.2,1.64,2
13175,-1.3,8.0,0.548,-17.1,50.3,3,90.5,1.09,3
8371,2.4,62.5,0.43,-8.4,64.8,4,8.3,1.36,2
21102,0.9,26.3,0.059,-23.1,38.3,2,19.1,1.73,2
18047,-0.7,22.6,0.201,-5.0,64.8,1,44.1,1.35,1
18332,-6.7,17.2,0.273,-13.8,50.7,2,58.5,1.32,3
9285,0.8,14.8,0.324,0.5,54.0,1,81.6,1.42,4
23414,9.3,10.5,0.063,9.1,65.3,0,98.8,1.09,4
7625,6.1,4.5,0.509,-19.7,60.9,3,38.9,1.05,5
16894,7.6,8.3,0.028,-19.3,72.6,2,4.7,1.64,1
32086,-5.1,48.0,0.082,-17.5,48.4,6,80.1,1.3,0
8989,-7.9,25.1,0.48,-9.0,59.0,2,60.4,1.63,3
10651,-2.8,47.8,0.213,-1.7,70.7,2,19.9,1.77,2
13903,-1.7,10.2,0.21,-21.5,64.3,2,49.5,1.8,1
10922,4.6,6.7,0.2,-11.2,65.1,6,74.2,1.03,0
7184,-12.2,17.1,0.086,-16.4,73.3,1,77.0,1.23,4
13731,7.2,8.6,0.037,-8.8,55.1,4,50.0,1.58,1
8734,-2.9,19.9,0.258,0.1,52.6,4,30.5,1.59,1
16146,-4.6,3.6,0.273,-17.4,66.9,2,97.4,2.23,5
9248,-8.1,1.9,0.258,-31.7,58.2,3,66.3,1.18,3
24834,-11.9,22.0,0.106,-7.6,73.5,0,40.8,1.79,1
9766,2.9,48.9,0.067,-23.3,64.4,3,28.0,1.53,2
11744,-1.6,22.7,0.177,-16.4,52.5,4,73.1,1.02,0
18497,-9.7,25.0,0.586,-7.1,64.1,2,24.2,1.27,5
8165,-9.8,17.7,0.194,-12.0,49.2,4,17.2,1.5,1
14632,-4.0,19.0,0.154,-16.0,71.4,0,53.0,1.01,4
22535,8.0,4.3,0.184,-20.8,43.2,2,29.0,1.0,1
7023,-3.6,8.9,0.194,-40.0,74.7,4,62.9,1.0,3
14383,-11.0,38.3,0.48,-8.0,63.9,4,11.8,1.49,2
14823,-3.5,12.9,0.318,-17.5,58.0,2,65.5,1.29,3
18264,-3.6,37.7,0.112,0.1,69.2,3,28.3,1.25,1
8145,-18.2,18.6,0.135,-11.0,66.1,4,0.0,1.26,1
7877,-2.3,19.3,0.199,-20.4,76.0,4,12.7,1.07,0
16461,-3.4,13.0,0.233,-4.3,75.9,3,93.4,1.3,4
15044,2.2,27.6,0.079,-3.5,64.2,3,86.7,1.0,4
14767,9.1,32.3,0.141,-17.2,49.5,3,23.4,1.8,2
15345,4.8,8.4,0.53,-3.1,53.5,2,77.8,1.99,5
10178,-3.6,4.7,0.478,-20.6,59.1,3,60.9,1.0,3
14660,-8.6,2.4,0.167,-13.4,73.0,4,97.1,1.29,4
15021,13.4,24.1,0.127,-9.3,54.5,5,37.4,1.31,1
10039,-1.6,22.2,0.334,-7.2,55.5,5,68.1,1.37,3
28178,-1.9,74.0,0.021,-8.8,82.2,1,6.4,1.73,2
16147,-2.1,17.7,0.463,-18.3,58.7,5,39.6,1.29,3
8295,-0.8,15.4,0.119,-4.1,52.4,4,96.4,1.39,4
17372,-2.9,20.4,0.283,-16.2,69.3,2,53.9,2.57,5
9046,-5.4,21.2,0.042,-20.7,59.3,2,28.8,1.39,1
18303,-5.3,14.5,0.348,-20.5,43.3,1,12.0,2.02,5
21235,-2.2,8.7,0.297,4.4,72.5,3,70.4,1.57,4
9621,-5.3,17.0,0.271,-22.4,51.0,5,64.5,1.27,3
19640,-6.3,16.5,0.078,-2.1,60.5,1,37.4,1.23,1
15758,-1.4,16.3,0.132,-26.4,59.2,2,95.1,1.42,4
18561,-3.5,29.6,0.253,-10.1,62.8,3,2.2,1.13,0
28530,7.0,16.8,0.1,-12.0,35.0,3,30.4,1.19,2
12110,-17.9,4.8,0.11,1.2,56.0,3,92.1,1.3,3
9882,4.5,10.0,0.428,-21.5,73.5,3,32.1,1.5,5
9359,5.5,14.4,0.022,-24.3,75.2,5,25.2,2.04,1
9639,-14.4,17.4,0.427,-16.2,48.1,4,53.4,1.29,3
12953,-4.1,24.5,0.083,1.6,71.0,3,82.4,1.56,3
15313,-4.2,17.5,0.342,-23.8,50.9,5,10.3,1.02,0
14923,-10.4,2.0,0.26,-40.0,55.5,4,94.3,1.75,3
18599,-6.7,5.4,0.072,-14.4,56.1,1,79.5,1.01,4
13429,-8.7,25.7,0.103,-5.5,61.3,3,18.1,1.66,1
23894,8.5,14.1,0.361,-25.1,72.0,3,71.2,1.4,4
12017,3.6,18.7,0.161,-6.5,63.2,1,38.5,1.39,1
35000,5.6,12.7,0.722,-25.4,58.5,5,40.2,1.34,3
17158,2.3,9.9,0.135,-16.5,71.6,3,78.3,1.09,4
9481,-8.8,13.1,0.124,-7.5,50.4,2,96.3,1.11,4
8704,-5.1,18.8,0.054,-26.9,59.1,3,12.7,1.68,1
16203,0.9,16.7,0.099,-13.2,71.9,3,42.1,1.42,0
12217,-9.3,32.2,0.19,-2.9,66.4,3,48.1,1.33,1
17775,2.3,3.9,0.643,-10.3,54.4,1,37.6,1.55,5
16143,-3.4,4.5,0.109,-22.2,41.8,5,36.3,1.45,0
12976,-4.2,13.9,0.014,0.2,63.7,1,5.2,1.21,1
9521,2.3,24.7,0.125,-8.4,41.1,4,68.6,2.32,5
7288,0.7,28.5,0.233,-33.6,57.4,2,43.6,1.65,2
11174,-4.2,10.3,0.436,-6.4,74.1,3,19.5,1.46,0
18817,5.0,0.6,0.236,-20.7,67.2,4,81.6,1.28,4
14554,-8.5,10.6,0.168,-13.0,35.7,3,80.3,1.72,5
8116,1.7,22.3,0.13,-4.9,62.4,8,48.6,1.21,0
14317,1.6,16.5,0.351,-20.5,56.2,2,29.8,1.19,0
15585,-3.9,25.3,0.209,-31.5,44.7,2,63.8,1.99,5
9381,-0.0,37.4,0.359,0.1,64.0,1,28.8,1.43,2
14206,-9.5,14.7,0.062,-3.4,54.1,1,23.6,1.22,1
13674,3.5,11.6,0.122,-15.9,54.2,5,73.1,1.42,0
8457,-3.1,7.7,0.266,-6.5,61.5,2,4.0,1.68,1
15415,-5.1,4.5,0.047,-18.7,52.5,0,9.5,1.61,1
16719,4.3,3.3,0.08,-14.0,61.1,2,0.7,1.72,1
20603,-6.2,9.4,0.186,-16.4,52.9,5,15.3,1.11,0
20363,-10.5,34.0,0.4,-18.3,53.5,4,6.9,1.72,2
7699,-11.3,27.0,0.486,-11.4,71.9,4,99.6,1.37,3
9180,1.6,11.1,0.085,-27.1,73.1,4,28.9,1.44,0
16416,-9.7,62.9,0.194,-17.5,39.5,4,14.9,1.81,2
16407,8.5,10.0,0.438,-11.9,69.0,1,24.1,1.63,5
16416,-14.5,39.8,0.338,3.4,76.8,3,93.6,1.52,3
35000,8.2,46.0,0.225,-26.7,78.7,1,52.0,1.0,0
16786,-0.7,23.3,0.264,-9.8,66.2,4,36.5,1.41,0
21040,-2.6,9.4,0.083,-8.7,47.3,4,87.3,1.21,4
19567,-5.3,12.4,0.156,-33.8,67.6,3,39.5,1.64,1
17336,0.4,19.2,0.195,-10.9,49.6,3,33.5,1.73,2
11776,-2.2,4.6,0.18,-6.2,55.9,3,20.7,1.34,1
18098,4.6,7.0,0.166,-9.1,64.6,4,37.8,1.24,1
9807,-1.3,6.5,0.085,-15.8,50.3,2,31.7,1.94,1
12152,-1.1,24.6,0.444,-11.7,46.2,3,67.7,1.26,3
11002,-4.2,37.1,0.207,-13.3,65.6,4,29.0,1.12,0
13804,-2.3,27.8,0.19,-31.9,82.4,5,57.7,1.2,3
33720,-0.2,33.1,0.064,-13.1,74.9,2,6.6,1.27,0
6330,-12.3,8.7,0.265,-18.7,68.5,2,19.1,1.19,1
17579,-10.1,12.8,0.107,-22.0,71.8,1,40.7,1.68,1
7008,2.5,13.6,0.102,9.8,67.7,2,93.7,1.0,4
11061,-1.0,23.3,0.151,-2.5,65.4,4,37.7,1.19,1
20652,-3.1,9.7,0.331,-26.5,70.8,2,66.4,1.41,3
13707,-1.9,31.7,0.265,-11.5,43.6,2,25.5,1.48,2
8681,0.1,45.2,0.032,-0.4,62.4,4,12.7,1.99,2
10035,-5.2,24.1,0.459,-30.0,59.0,3,5.9,1.93,5
17532,-6.7,12.4,0.221,-14.2,60.9,4,30.5,1.03,0
9975,-0.8,8.0,0.243,-13.8,54.5,1,15.8,1.0,1
14568,-7.9,6.5,0.086,-27.7,66.2,3,17.4,1.43,1
13605,0.4,2.0,0.387,-11.2,50.2,6,76.1,1.24,3
10294,-12.2,14.0,0.186,-3.8,53.6,3,1.6,1.12,1
31494,4.2,13.3,0.11,0.1,52.2,1,55.8,1.42,4
17215,0.8,30.4,0.039,-17.5,70.4,3,37.9,1.49,0
5942,-0.5,10.2,0.169,10.0,59.9,6,50.7,1.2,4
14394,3.9,14.6,0.412,-35.6,54.5,4,56.3,1.25,0
10252,8.0,20.6,0.102,-11.4,55.5,4,31.3,1.22,1
18787,4.1,23.8,0.04,-29.1,60.0,1,29.5,1.31,4
9730,-13.0,28.1,0.126,-14.1,79.5,5,73.3,1.58,3
12760,-9.7,19.1,0.107,-20.2,45.2,0,87.1,1.14,4
16350,-5.7,4.9,0.218,-9.9,68.1,5,19.3,1.25,0
18888,-1.8,22.4,0.079,-16.3,65.7,2,9.8,1.31,0
8265,1.1,9.6,0.098,-23.3,49.4,0,89.8,1.42,4
11686,-6.4,38.3,0.058,-22.6,77.6,3,35.0,1.5,0
11048,-0.9,16.9,0.291,4.3,66.5,6,55.1,2.13,5
10287,-6.5,20.0,0.117,-10.6,53.9,3,36.0,1.59,1
27070,-5.7,77.9,0.106,-32.0,37.7,2,12.6,1.6,2
15709,-10.4,28.4,0.392,-9.5,62.7,2,58.9,1.35,3
8067,-7.5,22.1,0.481,-16.9,59.5,2,52.5,1.17,3
19286,-10.1,14.9,0.338,-15.0,47.6,3,20.3,1.28,0
31221,-7.9,5.3,0.42,-6.8,47.5,7,45.2,1.23,0
20190,4.3,14.1,0.346,-3.2,70.4,0,79.7,1.53,4
7275,-7.7,7.9,0.148,-23.6,36.5,3,59.0,1.02,1
11007,13.8,48.9,0.061,-15.3,63.8,3,9.7,1.6,2
22175,1.0,22.3,0.116,-20.5,57.8,4,54.8,1.39,4
10066,-0.9,37.4,0.105,-9.0,66.0,3,70.3,1.64,2
15955,-7.2,10.0,0.292,-17.3,56.5,3,79.3,1.23,3
18212,2.2,8.4,0.19,-14.7,63.5,3,62.9,1.18,4
9220,-5.5,26.5,0.015,-17.7,51.1,3,15.3,1.31,1
13045,-1.3,7.6,0.111,-16.1,59.4,7,71.0,1.3,0
5000,13.4,11.6,0.051,2.0,65.9,2,67.7,1.67,4
8868,-2.6,50.4,0.076,8.9,61.8,2,2.4,1.66,2
12075,4.9,12.0,0.484,-11.2,64.6,3,41.2,2.08,5
8110,-6.2,4.2,0.085,-16.0,48.9,3,33.3,1.29,1
25667,-2.2,2.7,0.479,-31.0,52.9,4,66.9,1.0,3
7539,8.6,3.7,0.178,-22.6,53.1,2,21.6,1.31,1
11203,-5.8,38.9,0.29,-16.3,56.7,3,59.1,1.49,2
14076,8.9,10.5,0.082,-22.2,76.3,3,91.3,1.64,4
23777,2.2,76.3,0.202,-21.1,55.7,3,79.8,1.51,2
7522,-5.4,45.6,0.481,0.8,46.3,2,92.1,1.28,3
21274,1.8,58.3,0.429,-14.7,66.5,3,97.9,2.0,2
13414,3.8,33.7,0.199,-13.8,76.2,1,1.1,1.15,2
9021,1.7,25.5,0.172,-21.7,44.9,5,62.3,1.34,0
16072,-11.4,8.2,0.198,-3.2,83.7,4,41.3,1.14,3
14466,-6.4,16.6,0.271,-17.1,65.0,3,86.0,1.42,3
10508,-3.5,27.4,0.508,-20.2,72.4,4,25.2,1.95,5
13737,-2.4,32.3,0.115,-30.8,77.6,3,98.1,1.38,4
11451,1.7,5.8,0.106,-15.6,71.7,3,61.4,1.38,4
13980,-0.9,14.3,0.153,-20.5,58.7,4,79.4,1.01,4
17410,-10.0,15.6,0.061,1.8,74.6,3,8.6,1.34,1
25195,0.3,15.1,0.315,3.4,63.1,4,18.3,1.79,0
8142,1.7,6.6,0.041,-27.4,73.1,2,75.8,1.35,4
31357,1.4,53.9,0.519,-26.2,74.4,5,2.2,1.33,2
6119,4.5,13.9,0.2,-17.8,46.9,4,81.7,1.77,5
12572,3.0,7.1,0.31,-23.2,69.5,2,1.4,1.33,0
16904,0.8,54.8,0.017,-12.8,57.8,3,65.7,1.84,2
14948,-2.4,45.6,0.334,-18.3,61.7,4,36.5,1.1,2
10414,-12.0,18.6,0.267,-12.2,61.5,4,61.1,1.63,3
12292,0.6,11.3,0.288,-4.8,61.0,4,69.6,1.97,5
10968,-0.8,3.4,0.176,-25.6,78.3,5,34.2,1.74,0
10553,-0.4,24.2,0.377,-5.0,43.6,2,10.8,1.0,2
18766,-9.7,10.7,0.078,-22.3,39.3,3,7.0,1.25,0
15410,-8.5,16.3,0.265,6.5,36.8,3,58.9,1.35,1
10125,4.3,51.6,0.026,1.2,72.8,3,52.1,1.74,2
19145,-2.2,10.0,0.072,-16.1,50.7,2,74.2,1.09,4
15107,2.1,23.5,0.463,-24.6,61.6,3,51.0,1.16,3
18492,-1.8,28.6,0.116,-26.5,58.6,2,42.2,1.03,4
17186,-1.8,38.1,0.081,-6.3,49.4,6,39.8,1.2,0
9589,3.6,15.4,0.173,-15.3,70.2,4,2.6,1.1,0
10677,-5.1,14.2,0.446,-5.7,58.5,2,33.6,1.95,5
18014,-1.4,13.9,0.135,7.0,57.1,1,97.6,1.25,4
17054,-4.8,21.9,0.612,-22.7,62.8,4,87.4,1.63,3
13248,-4.6,44.3,0.11,-27.3,68.6,4,32.9,1.42,2
14001,-3.9,13.4,0.374,-13.1,48.5,2,58.8,1.42,3
22271,-0.7,0.9,0.214,-3.6,70.5,6,84.7,1.26,4
10544,-4.9,30.9,0.157,-24.4,77.4,3,44.1,1.66,0
16627,5.5,17.5,0.269,-14.7,42.9,0,1.8,1.46,1
12321,-7.4,24.3,0.055,-1.3,63.3,3,7.5,1.45,1
12245,-3.1,3.5,0.156,-31.3,56.3,1,51.0,1.26,4
20733,-4.6,10.7,0.15,-12.6,68.4,2,96.9,1.3,4
18586,6.7,29.2,0.245,-20.4,45.4,3,69.3,1.6,5
18497,-0.8,5.2,0.231,-13.8,79.5,2,7.1,1.49,0
22520,4.2,23.4,0.29,-7.9,40.7,3,18.9,1.45,2
13472,-10.9,16.2,0.377,-12.8,57.1,3,77.1,1.22,3
17549,-0.4,8.9,0.194,-25.1,65.2,2,84.1,2.09,5
11800,3.3,8.2,0.237,-20.0,51.8,5,61.8,1.29,0
15209,-1.5,6.7,0.491,-0.7,49.9,1,64.4,1.41,5
12682,4.4,17.5,0.229,-11.7,62.7,3,2.8,1.37,1
13888,-5.1,19.0,0.187,-6.6,60.9,3,82.9,2.1,5
16950,6.5,12.4,0.367,-12.5,60.1,3,78.8,1.34,3
9630,11.8,6.3,0.204,-6.9,70.3,4,25.9,1.31,1
30851,-4.2,23.0,0.534,-19.0,55.3,4,70.9,1.45,3
8933,-4.7,31.3,0.424,-22.7,63.8,1,21.5,1.24,2
8219,6.7,26.0,0.138,-7.4,53.9,4,4.0,1.45,1
21231,7.5,59.8,0.166,-3.7,49.8,2,20.1,2.28,2
18336,-5.1,14.4,0.409,-24.1,56.6,1,17.9,1.51,5
17148,-4.5,41.5,0.334,-20.8,54.0,3,33.8,1.5,2
17177,-3.7,9.6,0.421,-16.6,54.6,4,41.8,1.23,0
13294,-10.1,8.3,0.191,1.2,74.0,0,50.9,2.0,1
9331,-7.5,18.3,0.229,-9.4,57.0,4,47.7,2.09,5
13771,-8.0,47.7,0.168,-28.2,52.0,3,27.1,1.68,2
10189,-6.6,13.2,0.16,-15.9,60.3,4,2.9,1.62,1
19733,-2.2,3.5,0.111,-17.5,61.3,0,60.5,1.35,4
12596,-0.6,30.9,0.361,-26.7,45.8,2,39.6,1.53,2
9602,7.3,15.7,0.246,-16.0,56.4,6,29.9,1.2,0
11748,-8.0,20.8,0.271,-17.9,55.9,4,86.7,1.13,3
15759,3.9,8.7,0.401,-18.6,57.9,4,74.7,1.05,3
10662,-3.3,18.2,0.025,-19.1,68.7,2,85.8,1.54,4
9615,-2.3,4.1,0.247,-0.3,61.6,1,49.5,1.08,4
14727,2.0,54.4,0.441,-18.6,74.7,2,13.1,1.28,2
14735,-8.7,34.9,0.069,-14.5,59.9,3,69.6,1.4,2
10907,0.3,17.6,0.405,-15.6,81.3,2,20.6,1.73,5
11065,-1.0,30.3,0.25,-20.1,54.5,4,44.1,1.26,0
14659,1.0,9.7,0.261,-14.2,50.8,3,6.5,1.77,2
7485,-0.3,33.8,0.279,-14.3,66.6,3,82.5,1.71,2
7608,12.7,12.7,0.088,-14.2,76.4,1,12.6,1.15,1
10022,-5.8,12.0,0.017,-23.6,43.5,3,90.3,1.78,5
12266,-5.2,7.1,0.368,-17.1,57.6,4,86.4,1.34,3
15128,-5.7,22.8,0.077,-7.4,52.7,3,46.5,1.28,1
24104,-5.3,17.0,0.157,-16.8,61.7,2,74.4,1.34,4
18827,-5.8,42.4,0.658,-13.4,60.1,2,61.9,1.42,3
12531,5.1,6.4,0.2,-13.3,76.1,4,80.3,1.31,4
13258,6.5,22.8,0.292,-10.8,58.7,1,43.2,1.2,1
8946,-5.4,37.2,0.113,-9.4,76.5,4,78.6,1.22,3
13261,-7.0,19.3,0.448,-16.7,56.2,1,46.2,1.46,3
11902,0.8,12.5,0.022,-24.1,71.1,2,94.1,1.37,4
15200,-5.3,18.9,0.394,-27.2,62.7,1,48.6,1.58,5
9596,1.8,40.1,0.05,-4.8,80.8,1,46.3,1.43,2
16444,-0.8,40.1,0.567,-7.3,42.3,2,78.5,1.44,5
24663,-11.1,15.2,0.324,-8.5,46.0,4,82.2,1.6,3
12790,7.3,39.6,0.081,-6.9,82.0,3,55.4,1.88,2
15688,8.8,16.4,0.216,-16.6,51.2,4,18.0,1.9,2
17607,-5.7,30.0,0.307,-21.2,52.0,2,46.8,1.86,2
11378,-4.3,24.8,0.117,-24.8,49.5,3,96.8,1.69,5
14612,-0.3,12.1,0.163,-25.9,73.8,5,75.3,2.15,5
13427,0.0,7.4,0.479,-2.9,45.0,5,81.1,1.55,3
13892,2.0,37.8,0.227,-19.9,60.3,3,3.3,1.51,2
9806,10.1,45.0,0.419,-4.5,56.8,4,46.8,2.22,2
13491,-3.1,22.4,0.302,-16.9,72.4,4,64.7,1.0,3
16304,-6.8,16.4,0.302,-21.8,53.2,3,83.0,1.36,3
23871,-10.3,5.6,0.37,-25.9,65.0,2,4.9,1.82,5
19608,-6.4,37.2,0.516,-20.9,45.9,3,85.2,1.73,3
31611,-2.2,20.6,0.095,-0.8,85.0,3,54.8,2.37,3
9828,8.8,13.5,0.368,-25.8,57.1,5,19.7,1.45,0
18938,-5.1,30.6,0.584,6.2,60.1,3,31.7,1.3,0
14376,-0.7,4.6,0.35,-23.4,79.9,2,28.2,1.33,0
